"Gravelly"|"82281557"|"22347569"
"Channery"|"82281562"|"22347570"
"Channery"|"82281577"|"22347571"
"Extremely gravelly"|"82281583"|"22347574"
"Extremely gravelly"|"82281586"|"22347577"
"Very gravelly"|"82281590"|"22347578"
"Very gravelly"|"82281591"|"22347579"
"Gravelly"|"82281595"|"22347583"
"Gravelly"|"82281600"|"22347585"
"Gravelly"|"82281603"|"22347586"
"Gravelly"|"82281606"|"22347587"
"Gravelly"|"82281609"|"22347589"
"Channery"|"82281613"|"22347590"
"Gravelly"|"82281618"|"22347591"
"Gravelly"|"82281621"|"22347592"
"Channery"|"82281623"|"22347593"
"Very channery"|"82281625"|"22347595"
"Gravelly"|"82281627"|"22347596"
"Gravelly"|"82281629"|"22347598"
"Gravelly"|"82281632"|"22347600"
"Gravelly"|"82281634"|"22347601"
"Gravelly"|"82281636"|"22347603"
"Gravelly"|"82281638"|"22347604"
"Gravelly"|"82281644"|"22347607"
"Gravelly"|"82281647"|"22347609"
"Gravelly"|"82281649"|"22347610"
"Gravelly"|"82281652"|"22347611"
"Gravelly"|"82281656"|"22347612"
"Gravelly"|"82281660"|"22347615"
"Gravelly"|"82281663"|"22347617"
"Gravelly"|"82281668"|"22347619"
"Gravelly"|"82281671"|"22347621"
"Gravelly"|"82281672"|"22347622"
"Gravelly"|"82281674"|"22347624"
"Gravelly"|"82281677"|"22347626"
"Channery"|"82281679"|"22347627"
"Very channery"|"82281681"|"22347629"
"Gravelly"|"82281686"|"22347631"
"Gravelly"|"82281689"|"22347633"
"Gravelly"|"82281696"|"22347634"
"Gravelly"|"82281699"|"22347636"
"Gravelly"|"82281703"|"22347637"
"Gravelly"|"82281706"|"22347639"
"Gravelly"|"82281710"|"22347640"
"Gravelly"|"82281713"|"22347642"
"Gravelly"|"82281722"|"22347643"
"Gravelly"|"82281725"|"22347645"
"Channery"|"82281729"|"22347646"
"Gravelly"|"82281733"|"22347647"
"Gravelly"|"82281738"|"22347648"
"Gravelly"|"82281741"|"22347649"
"Gravelly"|"82281744"|"22347651"
"Gravelly"|"82281748"|"22347652"
"Gravelly"|"82281751"|"22347653"
"Gravelly"|"82281756"|"22347654"
"Gravelly"|"82281759"|"22347655"
"Channery"|"82281762"|"22347656"
"Channery"|"82281767"|"22347657"
"Channery"|"82281770"|"22347659"
"Gravelly"|"82281775"|"22347660"
"Gravelly"|"82281778"|"22347661"
"Gravelly"|"82281788"|"22347662"
"Gravelly"|"82281791"|"22347663"
"Gravelly"|"82281795"|"22347664"
"Gravelly"|"82281798"|"22347665"
"Gravelly"|"82281801"|"22347666"
"Gravelly"|"82281804"|"22347667"
"Channery"|"82281809"|"22347668"
"Channery"|"82281812"|"22347670"
"Gravelly"|"82281817"|"22347671"
"Gravelly"|"82281820"|"22347673"
"Channery"|"82281824"|"22347674"
"Gravelly"|"82281829"|"22347675"
"Gravelly"|"82281832"|"22347677"
"Very channery"|"82281837"|"22347679"
"Gravelly"|"82281842"|"22347680"
"Gravelly"|"82281845"|"22347682"
"Gravelly"|"82281850"|"22347684"
"Gravelly"|"82281853"|"22347686"
"Gravelly"|"82281857"|"22347687"
"Gravelly"|"82281860"|"22347688"
"Gravelly"|"82281864"|"22347689"
"Gravelly"|"82281866"|"22347691"
"Channery"|"82281870"|"22347692"
"Channery"|"82281873"|"22347693"
"Gravelly"|"82281879"|"22347694"
"Gravelly"|"82281881"|"22347696"
"Gravelly"|"82281885"|"22347697"
"Gravelly"|"82281888"|"22347699"
"Gravelly"|"82281895"|"22347700"
"Gravelly"|"82281897"|"22347702"
"Gravelly"|"82281901"|"22347703"
"Gravelly"|"82281904"|"22347704"
"Gravelly"|"82281908"|"22347705"
"Gravelly"|"82281911"|"22347707"
"Very gravelly"|"82281939"|"22347708"
"Very gravelly"|"82281944"|"22347710"
"Extremely gravelly"|"82281947"|"22347713"
"Very gravelly"|"82281950"|"22347716"
"Gravelly"|"82281951"|"22347717"
"Very gravelly"|"82281954"|"22347720"
"Cobbly"|"82281957"|"22347723"
"Very gravelly"|"82281960"|"22347726"
"Gravelly"|"82281961"|"22347727"
"Very gravelly"|"82281964"|"22347730"
"Cobbly"|"82281967"|"22347733"
"Extremely gravelly"|"82281970"|"22347736"
"Cobbly"|"82281974"|"22347739"
"Extremely gravelly"|"82281977"|"22347742"
"Gravelly"|"82281991"|"22347745"
"Very cobbly"|"82281993"|"22347747"
"Gravelly"|"82282002"|"22347748"
"Very gravelly"|"82282005"|"22347750"
"Gravelly"|"82282025"|"22347751"
"Gravelly"|"82282029"|"22347752"
"Gravelly"|"82282032"|"22347753"
"Gravelly"|"82282033"|"22347754"
"Very gravelly"|"82282036"|"22347757"
"Very gravelly"|"82282038"|"22347759"
"Extremely gravelly"|"82282042"|"22347763"
"Very gravelly"|"82282046"|"22347764"
"Very gravelly"|"82282047"|"22347765"
"Extremely gravelly"|"82282052"|"22347770"
"Gravelly"|"82282053"|"22347771"
"Very gravelly"|"82282056"|"22347774"
"Very gravelly"|"82282058"|"22347776"
"Extremely gravelly"|"82282062"|"22347780"
"Very gravelly"|"82282068"|"22347781"
"Gravelly"|"82282078"|"22347782"
"Gravelly"|"82282086"|"22347783"
"Very gravelly"|"82282089"|"22347786"
"Gravelly"|"82282090"|"22347787"
"Extremely gravelly"|"82282095"|"22347792"
"Mucky"|"82282099"|"22347793"
"Gravelly"|"82282105"|"22347795"
"Gravelly"|"82282117"|"22347796"
"Very gravelly"|"82282119"|"22347798"
"Cobbly"|"82282123"|"22347802"
"Extremely gravelly"|"82282126"|"22347805"
"Gravelly"|"82282136"|"22347806"
"Gravelly"|"82282146"|"22347807"
"Very gravelly"|"82282150"|"22347808"
"Extremely gravelly"|"82282153"|"22347811"
"Extremely gravelly"|"82282156"|"22347814"
"Gravelly"|"82282157"|"22347815"
"Very gravelly"|"82282160"|"22347818"
"Cobbly"|"82282163"|"22347821"
"Extremely gravelly"|"82282166"|"22347824"
"Cobbly"|"82282182"|"22347827"
"Extremely gravelly"|"82282185"|"22347830"
"Gravelly"|"82282189"|"22347833"
"Very cobbly"|"82282191"|"22347835"
"Gravelly"|"82282201"|"22347836"
"Very gravelly"|"82282205"|"22347838"
"Extremely gravelly"|"82282208"|"22347841"
"Very gravelly"|"82282211"|"22347844"
"Gravelly"|"82282221"|"22347845"
"Gravelly"|"82282224"|"22347846"
"Gravelly"|"82282234"|"22347847"
"Very gravelly"|"82282237"|"22347850"
"Gravelly"|"82282238"|"22347851"
"Extremely gravelly"|"82282243"|"22347856"
"Gravelly"|"82282244"|"22347857"
"Very gravelly"|"82282247"|"22347860"
"Cobbly"|"82282250"|"22347863"
"Extremely gravelly"|"82282253"|"22347866"
"Very gravelly"|"82282257"|"22347867"
"Extremely gravelly"|"82282260"|"22347870"
"Extremely gravelly"|"82282263"|"22347873"
"Very gravelly"|"82282267"|"22347874"
"Extremely gravelly"|"82282270"|"22347877"
"Extremely gravelly"|"82282273"|"22347880"
"Channery"|"82282276"|"22347881"
"Gravelly"|"82282308"|"22347882"
"Gravelly"|"82282311"|"22347883"
"Gravelly"|"82282316"|"22347884"
"Gravelly"|"82282319"|"22347885"
"Gravelly"|"82282331"|"22347886"
"Gravelly"|"82282334"|"22347888"
"Gravelly"|"82282348"|"22347889"
"Gravelly"|"82282351"|"22347891"
"Gravelly"|"82282353"|"22347892"
"Gravelly"|"82282356"|"22347894"
"Channery"|"82282360"|"22347895"
"Channery"|"82282363"|"22347896"
"Channery"|"82282368"|"22347897"
"Channery"|"82282371"|"22347898"
"Channery"|"82282376"|"22347899"
"Channery"|"82282379"|"22347900"
"Gravelly"|"82282385"|"22347902"
"Gravelly"|"82282388"|"22347904"
"Channery"|"82282392"|"22347906"
"Channery"|"82282393"|"22347907"
"Very channery"|"82282399"|"22347910"
"Gravelly"|"82282405"|"22347911"
"Gravelly"|"82282407"|"22347912"
"Gravelly"|"82282409"|"22347913"
"Channery"|"82282414"|"22347914"
"Channery"|"82282417"|"22347916"
"Gravelly"|"82282423"|"22347918"
"Gravelly"|"82282424"|"22347919"
"Channery"|"82282427"|"22347921"
"Very channery"|"82282430"|"22347924"
"Gravelly"|"82282434"|"22347926"
"Gravelly"|"82282437"|"22347928"
"Gravelly"|"82282440"|"22347930"
"Channery"|"82282442"|"22347931"
"Very channery"|"82282445"|"22347934"
"Gravelly"|"82282447"|"22347935"
"Gravelly"|"82282450"|"22347936"
"Gravelly"|"82282452"|"22347937"
"Gravelly"|"82282454"|"22347938"
"Gravelly"|"82282460"|"22347940"
"Gravelly"|"82282462"|"22347942"
"Gravelly"|"82282467"|"22347943"
"Gravelly"|"82282469"|"22347945"
"Gravelly"|"82282471"|"22347946"
"Gravelly"|"82282472"|"22347947"
"Gravelly"|"82282476"|"22347948"
"Gravelly"|"82282478"|"22347949"
"Channery"|"82282482"|"22347950"
"Gravelly"|"82282487"|"22347953"
"Gravelly"|"82282491"|"22347955"
"Gravelly"|"82282493"|"22347957"
"Gravelly"|"82282495"|"22347958"
"Gravelly"|"82282497"|"22347960"
"Gravelly"|"82282500"|"22347962"
"Channery"|"82282505"|"22347964"
"Channery"|"82282508"|"22347966"
"Channery"|"82282512"|"22347968"
"Channery"|"82282515"|"22347970"
"Channery"|"82282518"|"22347971"
"Channery"|"82282521"|"22347972"
"Gravelly"|"82282527"|"22347974"
"Gravelly"|"82282529"|"22347976"
"Gravelly"|"82282534"|"22347977"
"Gravelly"|"82282536"|"22347979"
"Gravelly"|"82282541"|"22347982"
"Gravelly"|"82282543"|"22347984"
"Gravelly"|"82282547"|"22347985"
"Gravelly"|"82282548"|"22347986"
"Gravelly"|"82282554"|"22347987"
"Gravelly"|"82282557"|"22347988"
"Gravelly"|"82282559"|"22347989"
"Gravelly"|"82282562"|"22347991"
"Extremely channery"|"82282567"|"22347994"
"Gravelly"|"82282572"|"22347995"
"Gravelly"|"82282575"|"22347996"
"Gravelly"|"82282576"|"22347997"
