15|23|30|30||46|"Wet"|"148912903"|"92022300"
0|0|0|183|183|183|"Wet"|"149033980"|"92046837"
61||91|183|183|183||"148911843"|"92021287"
0|0|0|46|61|76||"148911843"|"92021288"
46|61|76|61||91|"Wet"|"148911843"|"92021289"
0|0|0|183|183|183|"Wet"|"148911384"|"92020906"
0|0|0|183|183|183|"Wet"|"149034225"|"92047015"
46||76|183|183|183||"148913260"|"92022574"
0|0|0|30|46|61||"148913260"|"92022575"
30|46|61|46||76|"Wet"|"148913260"|"92022576"
61||91|183|183|183||"148907455"|"92017521"
0|0|0|46|61|76||"148907455"|"92017522"
46|61|76|61||91|"Wet"|"148907455"|"92017523"
30||46|183|183|183||"148912086"|"92021555"
0|0|0|15|23|30||"148912086"|"92021556"
15|23|30|30||46|"Wet"|"148912086"|"92021557"
0|0|0|46|61|76||"148902079"|"92013003"
46|61|76|183|183|183|"Wet"|"148902079"|"92013004"
46||76|183|183|183||"148905476"|"92015874"
0|0|0|30|46|61||"148905476"|"92015875"
30|46|61|46||76|"Wet"|"148905476"|"92015876"
46||76|183|183|183||"148912546"|"92021996"
0|0|0|30|46|61||"148912546"|"92021997"
30|46|61|46||76|"Wet"|"148912546"|"92021998"
46||76|183|183|183||"148911931"|"92021373"
0|0|0|30|46|61||"148911931"|"92021374"
30|46|61|46||76|"Wet"|"148911931"|"92021375"
0|0|0|183|183|183|"Wet"|"148904302"|"92014852"
0|0|0|183|183|183|"Wet"|"148910739"|"92020216"
0|0|0|183|183|183|"Wet"|"148909351"|"92019025"
0|0|0|183|183|183|"Wet"|"148905348"|"92015764"
183||183|183|183|183||"149036788"|"92048149"
0|0|0|0|15|30||"149036788"|"92048150"
0|15|30|183||183|"Wet"|"149036788"|"92048151"
46||76|183|183|183||"148902940"|"92013665"
0|0|0|30|46|61||"148902940"|"92013666"
30|46|61|46||76|"Wet"|"148902940"|"92013667"
0|0|0|46|61|76||"148902528"|"92013229"
46|61|76|183|183|183|"Wet"|"148902528"|"92013230"
0|0|0|183|183|183|"Wet"|"148906466"|"92016699"
30||46|183|183|183||"148906771"|"92016962"
0|0|0|15|23|30||"148906771"|"92016963"
15|23|30|30||46|"Wet"|"148906771"|"92016964"
0|0|0|30|46|61||"148907808"|"92017803"
30|46|61|46||76|"Wet"|"148907808"|"92017804"
46||76|183|183|183||"148907808"|"92017805"
30||46|183|183|183||"148909760"|"92019292"
0|0|0|15|23|30||"148909760"|"92019293"
15|23|30|30||46|"Wet"|"148909760"|"92019294"
0|0|0|30|46|61||"148912968"|"92022363"
30|46|61|183|183|183|"Wet"|"148912968"|"92022364"
61||91|183|183|183||"148912356"|"92021830"
0|0|0|46|61|76||"148912356"|"92021831"
46|61|76|61||91|"Wet"|"148912356"|"92021832"
0|0|0|183|183|183|"Wet"|"148911806"|"92021240"
30||46|183|183|183||"148902648"|"92013274"
0|0|0|15|23|30||"148902648"|"92013275"
15|23|30|30||46|"Wet"|"148902648"|"92013276"
61||91|183|183|183||"148905640"|"92016039"
0|0|0|46|61|76||"148905640"|"92016040"
46|61|76|61||91|"Wet"|"148905640"|"92016041"
0|0|0|183|183|183|"Wet"|"148902712"|"92013383"
76||122|183|183|183||"148908684"|"92018612"
0|0|0|61|84|107||"148908684"|"92018613"
61|84|107|76||122|"Wet"|"148908684"|"92018614"
30||61|183|183|183||"148913698"|"92023025"
0|0|0|15|31|46||"148913698"|"92023026"
15|31|46|30||61|"Wet"|"148913698"|"92023027"
30||46|183|183|183||"148902458"|"92013179"
0|0|0|15|23|30||"148902458"|"92013180"
15|23|30|30||46|"Wet"|"148902458"|"92013181"
183||183|183|183|183||"149036582"|"92048026"
0|0|0|0|15|30||"149036582"|"92048027"
0|15|30|183||183|"Wet"|"149036582"|"92048028"
46||76|183|183|183||"148904462"|"92014987"
0|0|0|30|46|61||"148904462"|"92014988"
30|46|61|46||76|"Wet"|"148904462"|"92014989"
0|0|0|15|31|46||"148902211"|"92013115"
15|31|46|183|183|183|"Wet"|"148902211"|"92013116"
30||46|183|183|183||"148911832"|"92021263"
0|0|0|15|23|30||"148911832"|"92021264"
15|23|30|30||46|"Wet"|"148911832"|"92021265"
0|0|0|0|15|30||"148909362"|"92019038"
