12057|"331186"|"657964"|"19286034"
40577|"331187"|"657964"|"19286035"
177635|"331188"|"657964"|"19286036"
204498|"331189"|"657964"|"19286037"
9133|"331190"|"657964"|"19286038"
103181|"331191"|"657964"|"19286040"
6494|"331192"|"657964"|"19286041"
158201|"331193"|"657964"|"19286042"
25607|"331194"|"657964"|"19286043"
17112|"331195"|"657964"|"19286046"
3822|"331196"|"657964"|"19286047"
12172|"331197"|"657964"|"19286048"
1374|"331198"|"657964"|"19286049"
14003|"331199"|"657964"|"19286050"
93447|"331200"|"657964"|"19286051"
8517|"331201"|"657964"|"19286052"
92624|"331202"|"657964"|"19286057"
39533|"331203"|"657964"|"19286058"
502|"331204"|"657964"|"19286061"
60337|"331205"|"657964"|"19286062"
193695|"331206"|"657964"|"19286063"
232476|"331207"|"657964"|"19286064"
39098|"331208"|"657964"|"19286065"
65885|"331209"|"657964"|"19286066"
133533|"331210"|"657964"|"19286067"
71959|"331211"|"657964"|"19286068"
126300|"331212"|"657964"|"19286069"
1225|"331213"|"657964"|"19286070"
43750|"331214"|"657964"|"19286072"
243449|"331215"|"657964"|"19286073"
62747|"331216"|"657964"|"19286074"
30887|"331217"|"657964"|"19286075"
6597|"331218"|"657964"|"19286076"
62549|"331219"|"657964"|"19286077"
34797|"331220"|"657964"|"19286078"
411827|"331221"|"657964"|"19286079"
36504|"331222"|"657964"|"19286080"
86023|"331223"|"657964"|"19286081"
380682|"331224"|"657964"|"19286088"
661050|"331225"|"657964"|"19286089"
121267|"331226"|"657964"|"19286246"
590074|"331227"|"657964"|"19286091"
7336|"331228"|"657964"|"19286092"
586|"331229"|"657964"|"19286093"
28644|"331230"|"657964"|"19286094"
2309|"331231"|"657964"|"19286095"
65806|"331232"|"657964"|"19286096"
3406|"331233"|"657964"|"19286097"
297395|"331234"|"657964"|"19286098"
657892|"331235"|"657964"|"19286099"
224124|"331236"|"657964"|"19286100"
263953|"331237"|"657964"|"19286101"
8204|"331238"|"657964"|"19286102"
1730|"331239"|"657964"|"19286103"
39038|"331240"|"657964"|"19286104"
56284|"331241"|"657964"|"19286105"
100743|"331242"|"657964"|"19286106"
8767|"331243"|"657964"|"19286107"
102163|"331244"|"657964"|"19286108"
128806|"331245"|"657964"|"19286243"
270444|"331246"|"657964"|"19286109"
644057|"331247"|"657964"|"19286110"
83456|"331248"|"657964"|"19286111"
3185|"331249"|"657964"|"19286112"
108732|"331250"|"657964"|"19286113"
161682|"331251"|"657964"|"19286114"
23384|"331252"|"657964"|"19286115"
220283|"331253"|"657964"|"19286117"
