"not used"|"14203243"|"9815519"
"not used"|"14203244"|"9815520"
"not used"|"14203245"|"9815521"
"not used"|"14203246"|"9815522"
"not used"|"14203247"|"9815523"
"not used"|"14203248"|"9815524"
"not used"|"14203249"|"9815525"
"not used"|"14203250"|"9815526"
"not used"|"14203251"|"9815527"
"not used"|"14203252"|"9815528"
"not used"|"14203253"|"9815529"
"not used"|"14203254"|"9815530"
"not used"|"14203255"|"9815531"
"not used"|"14203256"|"9815532"
"not used"|"14203257"|"9815533"
"not used"|"14203258"|"9815534"
"not used"|"14203259"|"9815535"
"not used"|"14203260"|"9815536"
"not used"|"14203261"|"9815537"
"ortstein"|"14203262"|"9815538"
"not used"|"14203263"|"9815539"
"not used"|"14203264"|"9815540"
"not used"|"14203265"|"9815541"
"shallow"|"14203266"|"9815542"
"not used"|"14203267"|"9815543"
"not used"|"14203268"|"9815544"
"not used"|"14203269"|"9815545"
"not used"|"14203270"|"9815546"
"not used"|"14203271"|"9815547"
"not used"|"14203272"|"9815548"
"not used"|"14203273"|"9815549"
"not used"|"14203274"|"9815550"
"not used"|"14203275"|"9815551"
"not used"|"14203276"|"9815552"
"not used"|"14203277"|"9815553"
"shallow"|"14203278"|"9815554"
"not used"|"14203279"|"9815555"
"not used"|"14203280"|"9815556"
"not used"|"14203281"|"9815557"
"shallow"|"14203282"|"9815558"
"not used"|"14203283"|"9815559"
"not used"|"14203284"|"9815560"
"not used"|"14203285"|"9815561"
"not used"|"14203286"|"9815562"
"shallow"|"14203287"|"9815563"
"shallow"|"14203288"|"9815564"
"not used"|"14203289"|"9815565"
"not used"|"14203290"|"9815566"
"not used"|"14203291"|"9815567"
"shallow"|"14203292"|"9815568"
"not used"|"14203293"|"9815569"
"not used"|"14203294"|"9815570"
"not used"|"14203295"|"9815571"
"not used"|"14203296"|"9815572"
"shallow"|"14203297"|"9815573"
"not used"|"14203298"|"9815574"
"not used"|"14203299"|"9815575"
"shallow"|"14203300"|"9815576"
"shallow"|"14203301"|"9815577"
"not used"|"14203302"|"9815578"
"shallow"|"14203303"|"9815579"
"shallow"|"14203304"|"9815580"
"not used"|"14203305"|"9815581"
"shallow"|"14203306"|"9815582"
"shallow"|"14203307"|"9815583"
"not used"|"14203308"|"9815584"
"not used"|"14203309"|"9815585"
"shallow"|"14203310"|"9815586"
"not used"|"14203311"|"9815587"
"not used"|"14203312"|"9815588"
"not used"|"14203313"|"9815589"
"not used"|"14203314"|"9815590"
"shallow"|"14203315"|"9815591"
"not used"|"14203316"|"9815592"
"not used"|"14203317"|"9815593"
"not used"|"14203318"|"9815594"
"not used"|"14203319"|"9815595"
"not used"|"14203320"|"9815596"
"shallow"|"14203321"|"9815597"
"not used"|"14203322"|"9815598"
"not used"|"14203323"|"9815599"
"not used"|"14203324"|"9815600"
"not used"|"14203325"|"9815601"
"not used"|"14203326"|"9815602"
"not used"|"14203327"|"9815603"
"not used"|"14203328"|"9815604"
"not used"|"14203329"|"9815605"
"not used"|"14203330"|"9815606"
"shallow"|"14203331"|"9815607"
"shallow"|"14203332"|"9815608"
"not used"|"14203333"|"9815609"
"not used"|"14203334"|"9815610"
"not used"|"14203335"|"9815611"
"not used"|"14203336"|"9815612"
"not used"|"14203337"|"9815613"
"not used"|"14203338"|"9815614"
"shallow"|"14203339"|"9815615"
"not used"|"14203340"|"9815616"
"not used"|"14203341"|"9815617"
"not used"|"14203342"|"9815618"
"shallow"|"14203343"|"9815619"
"not used"|"14203344"|"9815620"
"not used"|"14203345"|"9815621"
"not used"|"14203346"|"9815622"
"not used"|"14203347"|"9815623"
"not used"|"14203348"|"9815624"
"shallow"|"14203349"|"9815625"
"not used"|"14203350"|"9815626"
"shallow"|"14203351"|"9815627"
"not used"|"14203352"|"9815628"
"not used"|"14203353"|"9815629"
"not used"|"14203354"|"9815630"
"not used"|"14203355"|"9815631"
"not used"|"14203356"|"9815632"
"not used"|"14203357"|"9815633"
"not used"|"14203358"|"9815634"
"shallow"|"14203359"|"9815635"
"not used"|"14203360"|"9815636"
"not used"|"14203361"|"9815637"
"not used"|"14203362"|"9815638"
"shallow"|"14203363"|"9815639"
"not used"|"14203364"|"9815640"
"not used"|"14203365"|"9815641"
"shallow"|"14203366"|"9815642"
"not used"|"14203367"|"9815643"
"not used"|"14203368"|"9815644"
"shallow"|"14203369"|"9815645"
"shallow"|"14203370"|"9815646"
"shallow"|"14203371"|"9815647"
"not used"|"14203372"|"9815648"
"not used"|"14203373"|"9815649"
"not used"|"14203374"|"9815650"
"not used"|"14203375"|"9815651"
"not used"|"14203376"|"9815652"
"shallow"|"14203377"|"9815653"
"not used"|"14203378"|"9815654"
"not used"|"14203379"|"9815655"
"not used"|"14203380"|"9815656"
"not used"|"14203381"|"9815657"
"not used"|"14203382"|"9815658"
"not used"|"14203383"|"9815659"
"not used"|"14203384"|"9815660"
"not used"|"14203385"|"9815661"
"not used"|"14203386"|"9815662"
"shallow"|"14203387"|"9815663"
"not used"|"14203388"|"9815664"
"shallow"|"14203389"|"9815665"
"shallow"|"14203391"|"9815666"
"not used"|"14203392"|"9815667"
"not used"|"14203393"|"9815668"
"shallow"|"14203394"|"9815669"
"shallow"|"14203395"|"9815670"
"not used"|"14203396"|"9815671"
"not used"|"14203397"|"9815672"
"not used"|"14203398"|"9815673"
"not used"|"14203399"|"9815674"
"not used"|"14203400"|"9815675"
"not used"|"14203401"|"9815676"
"not used"|"14203402"|"9815677"
"not used"|"14203403"|"9815678"
"not used"|"14203404"|"9815679"
"not used"|"14203405"|"9815680"
"shallow"|"14203407"|"9815681"
"not used"|"14203408"|"9815682"
"shallow"|"14203409"|"9815683"
"not used"|"14203410"|"9815684"
"not used"|"14203411"|"9815685"
"not used"|"14203412"|"9815686"
"not used"|"14203413"|"9815687"
"not used"|"14203414"|"9815688"
"not used"|"14203415"|"9815689"
"not used"|"14203416"|"9815690"
"not used"|"14203417"|"9815691"
"not used"|"14203418"|"9815692"
"not used"|"14203419"|"9815693"
"not used"|"14203421"|"9815694"
"not used"|"14203422"|"9815695"
