0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203082"|"2823362"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203129"|"2823363"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203130"|"2823364"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203134"|"2823365"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203135"|"2823366"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203136"|"2823367"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203137"|"2823368"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203138"|"2823369"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203139"|"2823370"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203140"|"2823371"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203142"|"2823372"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203146"|"2823373"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203150"|"2823374"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203155"|"2823375"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203164"|"2823376"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203165"|"2823377"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203166"|"2823378"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203167"|"2823379"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203168"|"2823380"
3|9|15|||||250|425|600|"Nonflat"|||"14203169"|"2823381"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203170"|"2823382"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203171"|"2823383"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203172"|"2823384"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203173"|"2823385"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203174"|"2823386"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203175"|"2823387"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203176"|"2823388"
3|9|15|||||600|1800|3000|"Nonflat"|||"14203178"|"2823389"
3|9|15|||||250|425|600|"Nonflat"|||"14203179"|"2823390"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203180"|"2823391"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203181"|"2823392"
3|9|15|||||250|425|600|"Nonflat"|||"14203182"|"2823393"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203194"|"2823394"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203195"|"2823395"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203196"|"2823396"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203198"|"2823397"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203199"|"2823398"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203200"|"2823399"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203202"|"2823400"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203203"|"2823401"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203204"|"2823402"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203205"|"2823403"
3|9|15|||||250|425|600|"Nonflat"|||"14203206"|"2823404"
3|9|15|||||250|425|600|"Nonflat"|||"14203208"|"2823405"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203209"|"2823406"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203210"|"2823407"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203211"|"2823408"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203212"|"2823409"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203213"|"2823410"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203214"|"2823411"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203216"|"2823412"
3|9|15|||||250|425|600|"Nonflat"|||"14203217"|"2823413"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203218"|"2823414"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203219"|"2823415"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203220"|"2823416"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203221"|"2823417"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203222"|"2823418"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203223"|"2823419"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203224"|"2823420"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203225"|"2823421"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203226"|"2823422"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"14203236"|"2823423"
3|9|15|||||600|1800|3000|"Nonflat"|||"14203240"|"2823424"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203243"|"2823425"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203245"|"2823426"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203257"|"2823427"
0.1|1.6|3|||||600|1800|3000|"Nonflat"|||"14203261"|"2823428"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203266"|"2823429"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203271"|"2823430"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203272"|"2823431"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203278"|"2823432"
0.1|1.6|3|||||250|425|600|"Nonflat"|||"14203284"|"2823433"
