0|5|9||2|4|5||||"40856813"|"69857476"
0|3|6||5|40|75||||"40856813"|"69857477"
0|5|9||2|4|5||||"40856814"|"69857478"
0|3|6||5|40|75||||"40856814"|"69857479"
0|5|9||2|4|5||||"40856815"|"69857480"
0|3|6||5|40|75||||"40856815"|"69857481"
0|2|3||2|4|5||||"40856816"|"69857482"
0|2|3||5|40|75||||"40856816"|"69857483"
0|7|14||2|4|5||||"40856817"|"69857484"
0|3|6||5|40|75||||"40856817"|"69857485"
0|2|3||2|4|5||||"40856818"|"69857486"
0|2|3||5|40|75||||"40856818"|"69857487"
0|9|17||2|4|5||||"40856819"|"69857488"
0|6|11||5|40|75||||"40856819"|"69857489"
0|1|1||75|162|250||||"40856819"|"69857490"
0|12|24||2|4|5||||"40856820"|"69857491"
2|12|21||5|40|75||||"40856820"|"69857492"
3|10|17||75|162|250||||"40856820"|"69857493"
1|2|3||250|625|1000||||"40856820"|"69857494"
0|12|24||2|4|5||||"40856821"|"69857495"
2|12|22||5|40|75||||"40856821"|"69857496"
3|10|17||75|162|250||||"40856821"|"69857497"
0|5|9||250|625|1000||||"40856821"|"69857498"
0|12|24||2|4|5||||"40856822"|"69857499"
6|18|29||5|40|75||||"40856822"|"69857500"
6|12|17||75|162|250||||"40856822"|"69857501"
3|7|11||250|625|1000||||"40856822"|"69857502"
0|11|22||2|4|5||||"40856823"|"69857503"
6|18|29||5|40|75||||"40856823"|"69857504"
6|12|17||75|162|250||||"40856823"|"69857505"
3|7|11||250|625|1000||||"40856823"|"69857506"
0|6|11||2|4|5||||"40856824"|"69857507"
3|7|11||5|40|75||||"40856824"|"69857508"
0|2|3||75|162|250||||"40856824"|"69857509"
0|17|34||2|4|5||||"40856825"|"69857510"
3|19|34||5|40|75||||"40856825"|"69857511"
0|2|3||75|162|250||||"40856825"|"69857512"
0|1|1||250|625|1000||||"40856825"|"69857513"
0|11|22||2|4|5||||"40856826"|"69857514"
19|31|43||5|40|75||||"40856826"|"69857515"
3|9|14||75|162|250||||"40856826"|"69857516"
0|1|1||250|625|1000||||"40856826"|"69857517"
0|11|22||2|4|5||||"40856827"|"69857518"
18|31|43||5|40|75||||"40856827"|"69857519"
3|10|17||75|162|250||||"40856827"|"69857520"
0|1|1||250|625|1000||||"40856827"|"69857521"
0|2|3||2|4|5||||"40856828"|"69857522"
0|2|3||5|40|75||||"40856828"|"69857523"
0|7|14||2|4|5||||"40856829"|"69857524"
0|3|6||5|40|75||||"40856829"|"69857525"
0|2|3||2|4|5||||"40856830"|"69857526"
0|2|3||5|40|75||||"40856830"|"69857527"
0|9|17||2|4|5||||"40856831"|"69857528"
0|6|11||5|40|75||||"40856831"|"69857529"
0|1|1||75|162|250||||"40856831"|"69857530"
0|6|11||2|4|5||||"40856832"|"69857531"
3|7|11||5|40|75||||"40856832"|"69857532"
0|3|6||75|162|250||||"40856832"|"69857533"
0|10|19||2|4|5||||"40856833"|"69857534"
2|8|13||5|40|75||||"40856833"|"69857535"
3|6|9||75|162|250||||"40856833"|"69857536"
0|11|22||2|4|5||||"40856834"|"69857537"
6|14|22||5|40|75||||"40856834"|"69857538"
3|9|14||75|162|250||||"40856834"|"69857539"
0|2|3||2|4|5||||"40856835"|"69857540"
0|2|3||5|40|75||||"40856835"|"69857541"
0|7|14||2|4|5||||"40856836"|"69857542"
0|3|6||5|40|75||||"40856836"|"69857543"
0|2|3||2|4|5||||"40856837"|"69857544"
0|2|3||5|40|75||||"40856837"|"69857545"
0|9|17||2|4|5||||"40856838"|"69857546"
0|6|11||5|40|75||||"40856838"|"69857547"
0|1|1||75|162|250||||"40856838"|"69857548"
0|13|26||2|4|5||||"40856841"|"69857549"
9|21|33||5|40|75||||"40856841"|"69857550"
6|10|14||75|162|250||||"40856841"|"69857551"
0|15|30||2|4|5||||"40856842"|"69857552"
9|24|38||5|40|75||||"40856842"|"69857553"
3|7|11||75|162|250||||"40856842"|"69857554"
0|1|1||250|625|1000||||"40856842"|"69857555"
0|15|30||2|4|5||||"40856843"|"69857556"
9|24|38||5|40|75||||"40856843"|"69857557"
3|7|11||75|162|250||||"40856843"|"69857558"
0|1|1||250|625|1000||||"40856843"|"69857559"
0|10|20||2|4|5||||"40856844"|"69857560"
14|28|41||5|40|75||||"40856844"|"69857561"
6|16|25||75|162|250||||"40856844"|"69857562"
0|1|1||250|625|1000||||"40856844"|"69857563"
0|2|3||2|4|5||||"40856845"|"69857564"
0|2|3||5|40|75||||"40856845"|"69857565"
0|7|14||2|4|5||||"40856846"|"69857566"
0|6|11||5|40|75||||"40856846"|"69857567"
0|7|14||2|4|5||||"40856847"|"69857568"
0|6|11||5|40|75||||"40856847"|"69857569"
0|7|14||2|4|5||||"40856848"|"69857570"
0|5|9||5|40|75||||"40856848"|"69857571"
0|7|14||2|4|5||||"40856849"|"69857572"
0|5|9||5|40|75||||"40856849"|"69857573"
0|16|31||2|4|5||||"40856850"|"69857574"
