1|58
1|77
1|81
1|89
1|99
1|100
1|190
1|14
1|25
1|49
1|189
1|2660
2|46
2|95
5|526
10|471
10|74
10|83
10|88
10|32
10|191
10|288
10|523
10|16
10|2729
10|2789
10|2790
10|2791
10|31
10|60
10|2810
10|2811
11|4
11|19
11|51
11|71
11|75
12|61
12|65
12|66
12|308
12|378
12|97
12|379
12|311
12|312
12|41
12|42
12|37
12|9
12|15
12|6
12|7
12|365
12|366
12|101
13|59
13|11
13|28
13|47
13|2
13|98
13|68
14|94
14|86
14|384
14|380
14|52
14|50
14|381
14|309
14|44
14|73
14|96
14|2744
14|2746
14|2814
14|2815
14|2851
15|12
15|13
15|82
15|2866
21|2647
21|2755
21|2756
21|2757
21|2758
21|2759
